186.509893725  0.312464310759
195.371098732  37.1933927273
202.181166327  65.9190293167
206.765265923  96.4487403766
208.857509337  123.095728818
211.756262895  145.465878684
213.570130226  167.137453344
215.940749722  198.759855567
218.41751636  224.335499681
221.650841546  248.479838447
225.653213179  270.481488558
230.318484118  296.387208122
232.288450188  309.166491445
237.760231272  330.795372433
243.256988154  351.001486807
249.832387313  372.26186804
258.274207045  391.366752517
268.141728581  412.588709445
280.582277643  433.069397496
295.861742414  458.495613759
311.94147338  480.000683099
325.225996284  494.070382653
343.115952277  516.621180117
358.917307161  533.150835675
372.964632562  545.433538227
390.532504827  565.498763485
408.509876114  583.0698778
420.653317245  599.64222703
437.774226791  624.33571315
452.756583631  645.853590591
466.213335475  670.945462036
477.866106241  694.635913703
486.889653936  722.268859129
