X-Easting	Y-Northing	Z-Elevation
637.755441575	-17.7565649526	6.50
649.674100524	11.6206838032	6.50
663.062168924	40.6251634367	6.50
670.387882682	60.809930975	6.50
679.511333569	82.7518099449	6.50
688.58483286	107.539222143	6.50
695.835619224	131.992289523	6.50
701.326132156	152.554095551	6.50
704.14995832	179.192545258	6.50
699.267189806	207.34341829	6.50
697.273288597	237.594286306	6.50
696.692601293	270.673610081	6.50
699.429012164	302.291742937	6.50
704.094283104	328.197462502	6.50
708.821993538	350.546265531	6.50
715.67576878	376.782060546	6.50
720.694343195	403.39489405	6.50
729.314635818	433.166258764	6.50
737.334468629	455.476637489	6.50
744.994754015	477.435593928	6.50
753.449061646	495.829095097	6.50
766.633681358	515.589861107	6.50
776.651057682	528.275218351	6.50
791.001734964	544.110568071	6.50
812.599556306	563.773138636	6.50
828.835386009	576.385916638	6.50
856.979988409	598.105788515	6.50
950.881149356	750.394355043	6.50
900.0       	-100.0      	6.75
901.700715759	-11.9467567219	6.75
900.0       	0.10         	6.75
909.60191353	17.1217634194	6.75
918.525558033	50.4457753011	6.75
922.092414188	534.756918243	6.75
922.635117466	358.008052027	6.75
923.406765559	334.883825182	6.75
923.594084045	74.2130755774	6.75
923.636230704	384.312156916	6.75
924.339715681	510.904230623	6.75
924.353244239	551.80023204	6.75
925.616603356	313.165287483	6.75
927.665139123	92.3021174994	6.75
927.873270773	413.779062383	6.75
928.846286238	566.683779713	6.75
929.737089700	432.605103815	6.75
929.799008866	283.244494918	6.75
929.954066946	482.744818856	6.75
930.898464309	116.446456265	6.75
931.196092568	266.158487449	6.75
931.476029638	458.544978317	6.75
931.85534957	249.436710367	6.75
933.294059603	146.646091875	6.75
933.624468597	231.990741877	6.75
934.83059151	204.949637477	6.75
935.380059067	173.64877197	6.75
942.384209425	587.151659663	6.75
952.773621074	599.477055887	6.75
965.686108653	613.906716462	6.75
976.769639356	628.357723872	6.75
1000.0      	700         	6.75
