9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99
9999.99,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,9999.99
9999.99,598.627,598.635,598.651,598.671,598.685,598.696,598.698,598.699,9999.99
9999.99,597.244,597.263,597.299,597.347,597.373,597.400,597.399,597.398,9999.99
9999.99,595.844,595.873,595.935,596.046,596.058,596.134,596.100,596.095,9999.99
9999.99,592.981,593.023,593.102,593.210,593.295,593.388,593.439,593.477,9999.99
9999.99,588.644,588.707,588.823,588.976,589.140,589.307,589.460,589.587,9999.99
9999.99,584.245,584.338,584.507,584.730,584.981,585.242,585.506,585.823,9999.99
9999.99,579.753,579.891,580.139,580.457,580.812,581.174,581.498,581.729,9999.99
9999.99,569.734,570.035,570.535,571.135,571.774,572.459,573.025,573.375,9999.99
9999.99,554.028,554.679,555.666,556.761,557.828,559.177,560.211,560.877,9999.99
9999.99,537.671,538.985,540.691,542.414,543.602,546.211,547.765,549.045,9999.99
9999.99,520.000,522.900,525.700,528.600,531.400,534.300,537.100,540.000,9999.99
9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99
